,clean_name,transactor_type
1012340,always moving forward pac,Organization
1012345,tricia dare for circuit judge,Organization
1013750,republican caucus of saginaw county,Organization
1013758,nancy deboer leadership fund,Organization
1015996,6th congressional district democrats,Organization
1020746,freedom to learn pac,Organization
1020754,citizens to save our public safety a,Organization
1020758,dana nessel leadership fund,Organization
1025441,david e rutledge election committee,Organization
1025443,farhat for michigan pac,Organization
1025444,go far pac,Organization
1025446,kunse majority fund,Organization
1030257,reggie miller for michigan,Organization
1030266,seiu local 1 michigan political educ,Organization
1059422,michigan health access alliance,Organization
1059433,friends of judge andrew kowalkowski,Organization
1059441,greene majority motivated fund,Organization
1059443,dillon leadership fund,Organization
1059451,south lyon area republicans,Organization
1059454,ivan diaz for michigan,Organization
1062104,mcfall leadership fund,Organization
1062105,michigan common sense party,Organization
1062115,the travelers companies inc. politic,Organization
1062117,michigans electric cooperatives pac,Organization
1062119,tom matthew for state rep,Organization
1062121,doug corwin jr. for probate judge,Organization
1062126,begole leadership fund,Organization
1062140,jean zott for michigan,Organization
1062143,migop 3rd congressional district,Organization
1063100,barry county democratic committee,Organization
1063105,van buren county democratic committe,Organization
1063113,committee to elect anthony r. servit,Organization
1064497,lisa neilson for court of appeals,Organization
1064503,libertarian party of genesee county,Organization
1065805,mi creditors bar association pac,Organization
1065812,citizens for michigan,Organization
1069326,lansing future pac (superpac),Organization
1069327,committee to elect jeffrey clothier,Organization
1069330,10th congressional district of the m,Organization
1084165,mackinac couty republican committee,Organization
1084168,american clean power association cle,Organization
1086577,washtenaw citizens for accountabilit,Organization
1086579,cte adam stathakis,Organization
1086582,kevin coleman future leaders fund,Organization
1088375,newaygo county grassroots pac,Organization
1088380,mi forward fund,Organization
1088388,michigan republican assembly,Organization
1088389,keep judge matt antkoviak circuit ju,Organization
1088401,nationwide mutual insurance company,Organization
1088402,axmitax,Organization
1088403,save our guns,Organization
1088408,second district republican committee,Organization
1088414,bierlein majority fund,Organization
1088416,america first hillsdale republicans,Organization
1088418,rigas leadership fund,Organization
1088419,michigan conservative,Organization
1088421,friends of jamie callahan,Organization
1089384,anthony pac,Organization
1089392,alexander for majority,Organization
1089396,adam stockford for michigan,Organization
1090606,bay area majority fund,Organization
1090610,todd smalenberg for state rep,Organization
1091746,securing michigans future,Organization
1093238,grant leadership fund,Organization
1093243,bouchard victory fund,Organization
1099727,committee to elect angela cole proba,Organization
1099728,trevis harrold for michigan,Organization
1106201,tyson foods inc political action com,Organization
1107963,michigan legacy pac,Organization
1107968,friske leadership fund,Organization
1107977,andrew fink for michigan supreme cou,Organization
1107978,trust the truth (superpac),Organization
1107979,committee to elect steve frisbie for,Organization
1109554,webber majority fund,Organization
1109556,thompson leadership fund,Organization
1109567,stand tall pac,Organization
1114219,allegan families first,Organization
1114220,friends of sunny reddy,Organization
1114230,joe aragona for majority,Organization
1114231,enduring majority fund,Organization
1117354,friends of don keskey,Organization
1117359,dayna for michigan,Organization
1117363,schuette majority fund,Organization
1117367,committee to elect kimberly edwards,Organization
1117368,committee to elect adam abusalah,Organization
1117379,nesbitt for michigan,Organization
1117387,moving canton forward together,Organization
1120313,committee to elect lisa trombley,Organization
1120320,michigan cooperative unity partnersh,Organization
1120325,8th congressional district republica,Organization
1130069,friends of shannon rochon,Organization
1130073,red pilled,Organization
1131494,committee to elect melandie hines fo,Organization
1131497,michigan justice advocacy bqc,Organization
1131500,land of opportunity pac,Organization
1131501,13th congressional gop,Organization
1133053,citizens for local choice,Organization
1133059,michigan crna pac,Organization
1135933,macomb community college faculty org,Organization
1137034,fitzgerald for michigan pac,Organization
1138971,jeremy garza leadership pac,Organization
1140383,we the people power pac,Organization
1140392,michigan action political fund,Organization
1140395,michigan cemetery association pac,Organization
1140403,holcim us employees michigan pac,Organization
1141510,american hotel and lodging associati,Organization
1146653,concerned citizens 24,Organization
1148464,justice for allegan county,Organization
1153536,citizens for a better west michigan,Organization
1155064,mi soy pac,Organization
1155070,andrews majority political action co,Organization
1156489,friends for democracy,Organization
1163868,river raisin conservatives,Organization
1163871,northern lights leadership fund,Organization
1163876,the big local pac,Organization
1165874,republic svcs inc employees for bett,Organization
1193555,republican ladies leading lansing,Organization
1196068,carrie rheingans cares about michiga,Organization
1201155,northern michigan leadership pac,Organization
1204031,lenawee county conservatives,Organization
1220477,smalltown values pac,Organization
1224061,basf corporation employees political,Organization
1234868,every job is essential pac (superpac,Organization
1234871,central michigan community fund,Organization
1234880,mi corn growers assocation pac,Organization
1239193,sustainable michigan leadership,Organization
1239199,michigan majority leadership fund pa,Organization
1245343,western wayne county pac,Organization
1248420,mcbroom for michigan,Organization
1248424,developing michigan,Organization
1268174,the first ask,Organization
1268178,michael baker international holdco c,Organization
1276064,red white and blue pac,Organization
1278723,livonia democratic club state local,Organization
1278729,glbr for effective government,Organization
1278730,faith family and freedom fund,Organization
1279552,snyder for michigan,Organization
1281110,northville leadership fund,Organization
1281111,midwest independent retailers associ,Organization
1289968,concerned parents coalition of michi,Organization
1289969,maga michigan pac,Organization
1289970,noahs arc majority fund,Organization
1291884,black leadership action fund,Organization
1293560,vote novi,Organization
1293564,committee to elect brandon sinclair,Organization
1293567,common power,Organization
1296911,road sprinkler fitters local union n,Organization
1296912,action changes things political acti,Organization
1296921,white lake area futures,Organization
1298229,cowley for michigan,Organization
1298235,chris jackson for michigan,Organization
1299407,committee to elect matthew castillo,Organization
1299422,lipson neilson pac,Organization
1300375,committee to elect kevin m kane for,Organization
1300380,committee to elect ryan maxon,Organization
1300381,committee to elect russell cleary,Organization
1304723,committee to elect randy girard,Organization
1304732,committee to elect william paul slou,Organization
1306985,john larkin for 3rd circuit judge,Organization
1306995,committee to elect tim meyer,Organization
1312219,sharifa kerene moore for judge,Organization
1313745,jinan hamood for judge,Organization
1315466,committee to elect marcia mansaray,Organization
1315474,committee to elect jeb allen for cir,Organization
1315475,jennifer parmalee for probate judge,Organization
1316859,committee to elect dianne marie long,Organization
1318243,committee to elect eric r. fox,Organization
1318245,cte frank perez,Organization
1320206,tom mcmillin for state board of educ,Organization
1321292,rslc pac (superpac),Organization
1321296,friends of danene shumaker,Organization
1321301,committee to elect ken heuvelman,Organization
1321302,vote crystal bailey,Organization
1324845,jeff gorman 4 no regrets,Organization
1326328,committee to elect charles john ante,Organization
1326329,aaron pac,Organization
1329296,committee to elect kevin hammer,Organization
1329303,jonathan j. paasch for 63rd district,Organization
1329305,alex hawkins for michigan,Organization
1329308,committee to elect austin breuer,Organization
1331415,cte richard m. steenland,Organization
1333175,committee to elect daniel ohara,Organization
1335901,committee to elect amanda odette,Organization
1335907,friends of kathy g. pelleran-mahoney,Organization
1335915,committee to elect robert p. coutts,Organization
1335916,graphic communications council distr,Organization
1337826,liberati for michigan,Organization
1343832,committee to elect john grossenbache,Organization
1346701,our land our rights,Organization
1346702,committee to retain judge catherine,Organization
1346705,friends to elect tracy ruell,Organization
1346708,creek pac,Organization
1346714,shelly fraley for mi60,Organization
1346715,commitee to elect rich cutshaw,Organization
1348455,restore michigan,Organization
1348457,committee to elect k.c. baran,Organization
1348458,genentech inc. political action comm,Organization
1348460,klinefelt for michigan,Organization
1348462,amante for michigan,Organization
1348468,committee to elect charissa huang fo,Organization
1348472,midwives delivering for mi,Organization
1351299,friends of kevin ziegler for state r,Organization
1354333,committee to elect anna r. rapa,Organization
1354337,cte tawn beliger,Organization
1354342,friends of stephanie chang,Organization
1354352,committee to elect lois maassen,Organization
1354356,solidarity for michigan,Organization
1354359,rslc - great lakes pac,Organization
1355055,conservative voices,Organization
1355057,cte benjamin a. schock for probate c,Organization
1356114,prestin majority fund,Organization
1356119,maxim healthcare services inc michig,Organization
1357473,horsepower pac,Organization
1357490,friends of the west michigan gop pac,Organization
1359445,committee to elect kevin hesselink o,Organization
1359454,west michigan strong superpac,Organization
1359455,better michigan superpac,Organization
1359467,committee to elect julie derose,Organization
1359469,committee to elect jim fouts,Organization
1359471,don hicks for state representative,Organization
1359475,matthew mckone for district judge,Organization
1402328,red pilled michigan pac,Organization
1402329,woolford victory fund,Organization
1404249,michigan college democrats pac,Organization
1404250,tamara lopez for kent county probate,Organization
1404251,erin schultes for state rep,Organization
1404252,alice bernal for circuit court judge,Organization
1404261,mary for michigan,Organization
1409133,jane fonda climate pac michigan,Organization
1410117,friends of abby wheeler,Organization
1411005,greater michigan pac,Organization
1412574,donald t eason for state rep,Organization
1412578,progressive courts pac,Organization
1415186,tim kelly for state representative,Organization
1415191,committee to elect matthew j. wojda,Organization
1415195,environmental defense action fund pa,Organization
1417055,michigan association of collection a,Organization
1417056,friends of morgan foreman,Organization
1417057,committee to elect emily jipp for ci,Organization
1417058,jason dillingham for state represent,Organization
1417060,committe to reelect james p lambros,Organization
1438582,committee to elect christian marcus,Organization
1443363,maria ruggirello for 35th district j,Organization
1449814,alexandria taylor for michigan,Organization
1452313,commitee to elect todd l. barron,Organization
1452317,friends of sabrina lopez,Organization
1457212,committee to elect kerry tapper,Organization
1493573,duggan leadership fund,Organization
1495169,lucido for a brighter tomorrow pac,Organization
1495172,committee to elect kimberly gildner,Organization
1495182,climate cabinet pac - michigan,Organization
1497053,committee to elect mariko willis,Organization
1497062,pointers for academic excellence (su,Organization
1498885,marcus t. chmiel for 63rd district c,Organization
1498886,vote save america,Organization
1498890,committee to elect abby klomparens,Organization
1498892,resolute republic superpac,Organization
1503070,make liberty win (superpac),Organization
1507554,abbvie political action committee,Organization
1549782,friends to elect tom konesky,Organization
1549786,committee to elect rudy m howard jr,Organization
1551369,committee to elect andy wood,Organization
1551370,josh rockey for state rep,Organization
1551374,committee to elect tyler fox,Organization
1551375,committee to elect elias j fanous,Organization
1551376,committee to elect kelly ward for pr,Organization
1551377,nicholas gumina for judge,Organization
1551378,nancy chinonis for circuit judge,Organization
1551385,committee to elect griffin wojtowicz,Organization
1553490,committee to elect julia kelly for j,Organization
1553491,committee to elect kim s. corcoran,Organization
1553492,committee to elect jennifer johnsen,Organization
1553493,vote mama,Organization
1553497,ryan leo good,Organization
1553504,michelle ambrozaitis for judge,Organization
1553506,friends of nancy jenkins-arno,Organization
1553508,committee to elect david m. glancy,Organization
1553510,friends of kyle wright,Organization
1555398,christine morse for 9th circuit cour,Organization
1555402,david m. delaney,Organization
1555403,committee to elect timothy odykirk,Organization
1557310,rima mohammad for state representati,Organization
1557312,committee to elect aaron j. hall,Organization
1559234,the committee to elect jon leroux,Organization
1559235,daniel mercier for judge,Organization
1559237,cody dill for state representative,Organization
1559239,committee to elect peter kulas-domin,Organization
1559240,elizabeth peterson for circuit court,Organization
1559241,families for jason rubin,Organization
1562588,committee to elect doug murch,Organization
1562590,christopher crain for state represen,Organization
1564329,friends of hermon barbe for michigan,Organization
1564334,friends of tommy brann,Organization
1564336,citizens for chip chipman,Organization
1566113,committee to elect joe pavlov,Organization
1566119,committee to elect janise oneil robi,Organization
1567478,brian ignatowski for state represent,Organization
1567481,committee to elect teresa patton,Organization
1567483,randy j. wallace for court of appeal,Organization
1567484,i like clean water,Organization
1569272,committee to elect alexander w. harr,Organization
1569273,committee to elect matt longjohn,Organization
1569279,jennifer wortz committee to elect fo,Organization
1573084,matthew delange for judge,Organization
1573087,friends of randy levasseur,Organization
1573089,committee to elect jevona fudge,Organization
1573090,committee to elect chaz fowler,Organization
1573100,the committee to elect kendrah robin,Organization
1573102,friends of stephen wooden,Organization
1573103,committee to elect daniel mahoney,Organization
1575219,saima rehman khalil for judge,Organization
1575220,friends of rylee linting,Organization
1575223,nicole s. huddleston for oakland cou,Organization
1577163,austin marsman for michigan,Organization
1577164,andy shaver for michigan,Organization
1577165,committee to elect nicole castka,Organization
1577169,michelle woodman,Organization
1577171,friends of tonya myers phillips,Organization
1577174,committee to elect ron robinson,Organization
1577175,committee to elect michael malmborg,Organization
1577177,friends of kristina lyke,Organization
1577182,the committee to elect james l. gilb,Organization
1579010,maria mendoza-boc for michigan,Organization
1579019,committee to elect moneka sanford fo,Organization
1579025,cte dom restuccia,Organization
1579029,friends of chris gilmer-hill,Organization
1581394,progressive caucus of mid michigan,Organization
1581397,adrienne nicole young for judge,Organization
1581399,evergreen action,Organization
1581403,youngquist for michigan,Organization
1581409,committee to elect herman griffin,Organization
1581410,cte jorja baldwin,Organization
1583164,rasha demashkieh for wsu,Organization
1583165,committee to elect dan kelly,Organization
1583166,comm to elect nicolette m snyder,Organization
1583169,matthew deperno for judge,Organization
1583170,rebecca bahar-cook for msu trustee,Organization
1586886,judge mark boonstra for michigan sup,Organization
1586887,judge patrick william ogrady for mic,Organization
1589014,shauna ryder diggs for university of,Organization
1589017,julue maday for msu,Organization
1589029,cte ziad abdulmalik,Organization
1591120,anissa buffin state house rep. d67,Organization
1591138,grand new party pac,Organization
1599454,citizens to elect cady ness-smith,Organization
1601127,kalamazoo county democratic party,Organization
1601136,friends of matt schlinker,Organization
1606420,committee to elect christiana reynol,Organization
1613439,angela jones committee to elect,Organization
1613442,committee to elect bill sage for sta,Organization
1615468,mark gaffney for wayne state univers,Organization
1615471,friends of theodore jones,Organization
1617425,adam f zemke for michigan,Organization
1618816,ne mi league of conservative educati,Organization
1618819,sami makhoul for wayne state univers,Organization
1622060,carl meyers for university of michig,Organization
1626062,committee to elect catherine sala,Organization
1626064,american energy action fund,Organization
1626068,american arab and muslim political a,Organization
1626070,committee to elect eric shepherd jud,Organization
1627555,dearborn police officers political a,Organization
1627569,cte william burton,Organization
1630834,glaxosmithkline llc pac (gsk pac),Organization
1634203,tuebor pac,Organization
1635001,latoya m. willis for court of appeal,Organization
1637877,democratic election fund,Organization
1637882,citizens for a better mid-michigan p,Organization
1643854,end gun violence michigan action ind,Organization
1643855,osceola county democratic party,Organization
1648322,keep livingston great superpac,Organization
1648324,keep livingston great,Organization
1648327,quest diagnostics incorporated pac o,Organization
1661585,partnership for responsible governme,Organization
1661587,sunrise alliance for equity,Organization
1661595,citizens against lawsuit abuse actio,Organization
1665489,automotive recyclers of michigan pol,Organization
1665504,educated we stand,Organization
1665509,committee to elect michael j. zitta,Organization
1665510,zurich holding company of america in,Organization
1665512,committee to re-elect probate judge,Organization
1667289,roth leadership fund,Organization
1667296,the committee to elect david c. egel,Organization
1667297,shink resilient michigan fund,Organization
1667307,blue water leadership fund,Organization
1671764,committee to reelect judge debra nan,Organization
1671767,jpmorgan chase & co. pac,Organization
1674245,michigan democratic party black cauc,Organization
1674247,matthew ackerman for court of appeal,Organization
1674249,committee to re-elect hon. kathleen,Organization
1674255,committee to elect amy grace gierhar,Organization
1674886,real safety pac,Organization
1676112,karyn tomczyk for 55th judge,Organization
1680023,friends of michael woodyard,Organization
1681245,community solar action fund (fed pac,Organization
1681251,michigan orthotics and prosthetics a,Organization
1683240,corning incorporated employees polit,Organization
1687922,southwest michigan education advocat,Organization
1689144,democracy defenders pac,Organization
1692902,for michigan action fund,Organization
1692903,one michigan alliance fund,Organization
1694740,tamara garwood for judge,Organization
1694744,jeffrey worosz for circuit court jud,Organization
1694754,committee to retain judge laura e. p,Organization
1696934,boss up pac,Organization
1696942,votevets,Organization
1696945,dr michael busuito for wayne state,Organization
1696946,committee to elect thomas stallworth,Organization
1698388,michigan greenhouse growers politica,Organization
1700086,committee to elect derek dalman,Organization
1700098,caresource mission political action,Organization
1700112,demand justice pac,Organization
1703629,odp mi (superpac),Organization
1707211,pushing forward fund,Organization
1707213,westside forward pac,Organization
1707217,committee to elect mike tinney,Organization
1707224,wayne 6th congressional district rep,Organization
1710717,committee to elect patrick sierawski,Organization
1712273,price majority fund,Organization
1712278,robin persiconi for judge,Organization
1714823,the next 50 pac - michigan,Organization
1714828,sanofi-aventis u s inc employees pol,Organization
1717640,rising voices action fund superpac,Organization
1717652,michiganders for the future (superpa,Organization
1723477,macdonell action committee pac,Organization
1723479,ryan deel for 52-3 district court ju,Organization
1734667,shes the future,Organization
1736356,the presidential coalition - mi,Organization
1745555,neyer leadership fund,Organization
1745573,albert mais for 5th district court j,Organization
1749480,robin dillard-russaw for 46th distri,Organization
1749487,join the union,Organization
1749490,private property rights michigan pac,Organization
1749491,committee to keep judge jennifer dee,Organization
1781226,cte steven a heisler,Organization
1781233,cte james jolly for judge,Organization
1794720,committee to elect denis mccarthy,Organization
1802988,vote for equality (superpac),Organization
1802989,friends of jeremy bowie,Organization
1802991,abolish the electoral college,Organization
1805530,the justice project ie pac superpac,Organization
1808726,the justice project,Organization
1808728,conservative battleground fund,Organization
1846415,committee to elect todd e. briggs fo,Organization
1853349,astellas us llc pac,Organization
1855216,mi poder pac (superpac),Organization
1862191,dan obrien for probate judge,Organization
1863941,committee to elect andrea bradley-ba,Organization
1867447,joe barone for judge,Organization
1867449,restore michigans future,Organization
1899508,gopac election fund,Organization
1899522,rslc victory fund,Organization
1922957,a pleasant peninsula pac,Organization
1922959,huwaida arraf for umich regent,Organization
1924847,save our schools pac,Organization
1924859,the juno fund,Organization
1924862,cte traci richards for judge,Organization
1924864,mental health pac,Organization
1924868,committee to elect macie gaines,Organization
1924879,committee to elect vanessa moss to 3,Organization
1944019,democratic voters pac,Organization
1944022,stop maga pac,Organization
1949228,committee to re-elect judge gregory,Organization
1949236,21st century club,Organization
1949247,the committee to elect malaika ramse,Organization
1949253,rebekah warren leadership fund,Organization
1949268,committee to elect ronald singer,Organization
1949880,somos pac (superpac),Organization
1951606,cavanagh leadership fund,Organization
1951640,citizens supporting tory rocca,Organization
1952894,fund for a republican majority,Organization
1952925,referendums of michigan,Organization
1952979,harvest the sun,Organization
1952989,nrg energy inc political action comm,Organization
1952993,citizens for accountable government,Organization
1953044,jonathan blair for circuit court jud,Organization
1953046,friends of emu,Organization
1953052,dana thompson for wayne state,Organization
1953055,frank lambert committee,Organization
1953086,susan longsworth for judge,Organization
1953107,committee to elect charles longstree,Organization
1954387,comm to elect kahlilia yvette davis,Organization
1954465,friends of lisa brayton,Organization
1954494,committee to elect craig r. cooper p,Organization
1954544,committee to elect jeremiah buffalo,Organization
1955959,miller for michigan,Organization
1956014,southwest michigan building trades p,Organization
1956999,douglas  waggener campaign committee,Organization
